datahora, temperatura_C, pressão_Pa, humidade_Rel, radiação_W/m2
2021-12-05 01:45:00,10.20,101.6,80.00,0.00
2021-12-05 02:15:00,10.20,101.5,80.00,0.00
2021-12-05 02:45:00,9.60,101.5,90.00,0.00
2021-12-05 03:15:00,10.10,101.5,80.00,0.00
2021-12-05 03:45:00,10.40,101.5,80.00,0.00
2021-12-05 04:15:00,10.50,101.5,80.00,0.00
2021-12-05 04:45:00,10.60,101.5,80.00,0.00
2021-12-05 05:15:00,10.50,101.5,80.00,0.00
2021-12-05 05:45:00,10.60,101.5,80.00,0.00
2021-12-05 06:15:00,10.50,101.6,90.00,0.00
2021-12-05 06:45:00,10.70,101.6,90.00,0.00
2021-12-05 07:15:00,10.80,101.6,90.00,0.00
2021-12-05 07:45:00,10.90,101.6,80.00,0.00
2021-12-05 08:15:00,11.10,101.6,80.00,8.00
2021-12-05 08:45:00,11.10,101.6,80.00,27.00
2021-12-05 09:15:00,11.50,101.6,80.00,40.00
2021-12-05 09:45:00,12.00,101.6,80.00,118.00
2021-12-05 10:15:00,12.40,101.6,80.00,108.00
2021-12-05 10:45:00,12.50,101.7,80.00,96.00
